__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_size,mean_of_known_cells,amount_of_known_cells,amount_above_mean,proportion_occupied,enclosed_area_count,corner_count
run_71,DONE,karto,circular,0.1,0.2,0.9,2,29.75137875891668,649013086.7081403,944203.1443627264,3730288,67.75474083438685,791,211,26.67509481668774,3,42
run_72,DONE,hector,point_to_point,0.05,1.0,0.9,2,29.624782837101193,782248127.5094532,821976.59534416,3266000,42.30810488676996,3356,559,16.65673420738975,9,82
run_73,DONE,cartographer,point_to_point,0.1,0.2,0.9,1,42.15897216063829,685668947.4379835,838958.3842509821,5084120,119.42633928571429,896,262,29.24107142857143,1,37
run_74,DONE,hector,circular,0.1,1.0,0.9,2,27.750110899424076,784105949.7152994,936165.7348095162,3788200,67.19746835443038,790,209,26.455696202531648,2,60
run_75,DONE,gmapping,point_to_point,0.1,0.2,0.0174,3,40.10361934426283,651623299.3368767,844077.4925982724,3445176,70.06896551724138,928,256,27.586206896551722,1,32
run_76,DONE,karto,circular,0.05,0.2,0.9,2,29.14229415324961,650161257.9621313,936429.5874844096,3762072,42.05242203052422,3014,499,16.55607166556072,3,41
run_77,DONE,hector,point_to_point,0.05,0.2,0.9,2,30.75854761505512,780046944.3066063,809744.3241426072,3263112,42.137232194557036,3454,573,16.589461493920094,4,77
run_78,DONE,gmapping,point_to_point,0.05,1.0,0.0174,2,39.841740423174045,658920500.5858841,843352.4478050306,3450272,49.42017738359202,3608,702,19.456762749445677,17,45
run_79,DONE,hector,circular,0.05,0.2,0.0174,2,27.17537336708683,785741079.5631825,943897.4691516235,3760200,53.82156133828996,3228,684,21.189591078066915,25,46
run_80,DONE,gmapping,circular,0.1,1.0,0.9,1,28.252788336905766,653977142.7149522,939600.9057167672,3757656,66.04,800,208,26.0,3,50
run_81,DONE,gmapping,circular,0.1,0.2,0.9,1,33.98601866670473,654576544.4801043,946599.33319577,3808424,70.98420413122722,823,230,27.946537059538272,3,46
run_82,DONE,gmapping,circular,0.05,0.2,0.9,1,34.148903485975765,663003192.5894737,948370.3443592384,3813312,42.93187660668381,3112,526,16.902313624678662,13,53
