__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_count,rosbag_msg_size
run_51,DONE,cartographer,circular,0.05,0.2,0.9,2,41.090301890465305,688824926.9793881,959414.4236350848,80086,5879032
run_52,DONE,cartographer,point_to_point,0.05,1.0,0.9,2,42.7546683205287,687737633.6135796,828588.2366020085,69368,5096496
run_53,DONE,karto,point_to_point,0.1,1.0,0.0174,1,29.13721771431165,652902169.7577002,811981.7363822445,40722,3277944
run_54,DONE,gmapping,circular,0.05,1.0,0.0174,2,43.72232118012516,659023131.764399,984741.4411358587,49833,4016936
run_55,DONE,cartographer,circular,0.05,0.2,0.9,3,42.07686680948753,688990306.8322874,958444.6513580314,80152,5878792
run_56,DONE,gmapping,circular,0.05,1.0,0.9,2,31.14715355450562,657572905.5745808,940220.9759062296,47101,3797448
run_57,DONE,karto,circular,0.05,1.0,0.9,3,26.678822541306264,650397993.5491381,929285.6856570592,46755,3769040
run_58,DONE,cartographer,circular,0.05,0.2,0.0174,2,44.23747323592057,691036434.7209,957031.7233765954,80028,5879072
run_59,DONE,gmapping,point_to_point,0.1,1.0,0.9,2,31.259798477518768,653444074.8493702,810305.6337313993,40895,3297984
run_60,DONE,hector,circular,0.05,0.2,0.9,2,27.666088933944703,785033269.703111,930966.2157652536,47202,3807104
run_61,DONE,hector,circular,0.05,1.0,0.0174,1,28.835566910243706,778696693.548702,925266.0565500407,47157,3800872
run_62,DONE,gmapping,point_to_point,0.05,0.2,0.0174,1,47.64138710659984,649101903.7356035,855046.1859820981,44426,3581320
run_63,DONE,hector,point_to_point,0.1,1.0,0.9,1,30.76335446189289,774093591.615756,807635.4962999251,40968,3305688
run_64,DONE,hector,point_to_point,0.05,1.0,0.0174,2,27.783033936175478,773129995.0390143,804617.4323301286,40995,3307600
run_65,DONE,karto,circular,0.05,0.2,0.0174,3,30.436226510736972,651852891.1485016,936957.1057897877,47319,3800856
run_66,DONE,gmapping,circular,0.05,0.2,0.0174,3,49.087201669573005,652847523.3735358,986023.3209190976,51093,4117944
run_67,DONE,cartographer,circular,0.1,0.2,0.9,2,41.183200168878024,683612798.0324745,951068.7453202876,80581,5914352
run_68,DONE,karto,point_to_point,0.1,0.2,0.9,1,26.554517123265306,648369522.8367612,807513.9276902805,40617,3277008
run_69,DONE,hector,point_to_point,0.1,0.2,0.9,1,28.23304261789376,779309433.2355053,811516.731380667,41226,3326504
run_70,DONE,hector,circular,0.05,0.2,0.9,3,30.234812175994545,779027480.9646387,938311.6448412553,47404,3824320
run_71,DONE,karto,circular,0.1,0.2,0.9,2,29.75137875891668,649013086.7081403,944203.1443627265,46283,3730288
run_72,DONE,hector,point_to_point,0.05,1.0,0.9,2,29.62478283710119,782248127.5094533,821976.59534416,40480,3266000
run_73,DONE,cartographer,point_to_point,0.1,0.2,0.9,1,42.158972160638285,685668947.4379835,838958.384250982,69265,5084120
run_74,DONE,hector,circular,0.1,1.0,0.9,2,27.750110899424076,784105949.7152994,936165.7348095162,46973,3788200
run_75,DONE,gmapping,point_to_point,0.1,0.2,0.0174,3,40.10361934426283,651623299.3368767,844077.4925982724,42722,3445176
run_76,DONE,karto,circular,0.05,0.2,0.9,2,29.142294153249615,650161257.9621313,936429.5874844097,46682,3762072
run_77,DONE,hector,point_to_point,0.05,0.2,0.9,2,30.758547615055118,780046944.3066062,809744.3241426072,40461,3263112
run_78,DONE,gmapping,point_to_point,0.05,1.0,0.0174,2,39.841740423174045,658920500.5858841,843352.4478050307,42782,3450272
run_79,DONE,hector,circular,0.05,0.2,0.0174,2,27.175373367086827,785741079.5631825,943897.4691516237,46622,3760200
run_80,DONE,gmapping,circular,0.1,1.0,0.9,1,28.252788336905763,653977142.7149522,939600.9057167671,46583,3757656
run_81,DONE,gmapping,circular,0.1,0.2,0.9,1,33.98601866670473,654576544.4801043,946599.33319577,47209,3808424
run_82,DONE,gmapping,circular,0.05,0.2,0.9,1,34.148903485975765,663003192.5894737,948370.3443592385,47310,3813312
run_83,DONE,karto,circular,0.1,1.0,0.9,1,29.795713942498782,651810484.1460748,934486.4111060507,46217,3727120
run_84,DONE,karto,point_to_point,0.05,0.2,0.0174,1,31.749660687519697,647377318.0557929,812145.6114640712,40554,3260968
run_85,DONE,hector,circular,0.1,1.0,0.9,3,27.930424097329478,784969670.1027597,941978.2394382267,47034,3793632
run_86,DONE,karto,point_to_point,0.05,0.2,0.0174,2,28.858510151343584,651853619.5178479,823202.8961545699,40572,3265120
run_87,DONE,hector,circular,0.05,0.2,0.9,4,29.910441844325508,782562807.1083754,945779.4504588547,46725,3771056
run_88,DONE,karto,circular,0.1,0.2,0.0174,2,28.55596071323061,651131960.5707896,942649.4141192749,46714,3758736
run_89,DONE,karto,circular,0.05,0.2,0.0174,4,28.80577569114447,652160614.3093605,939025.627363025,46857,3768520
run_90,DONE,cartographer,circular,0.1,1.0,0.0174,2,41.36799771306209,688158786.2078542,961206.1626028361,79905,5865720
run_91,DONE,cartographer,point_to_point,0.05,0.2,0.9,1,42.81603029443976,687328122.2791511,831593.3047257542,69216,5080360
run_92,DONE,karto,point_to_point,0.1,1.0,0.0174,2,28.67715975872158,652335724.0174314,811638.3913510133,40521,3261384
run_93,DONE,gmapping,circular,0.05,1.0,0.9,3,31.253800874700527,657678286.9300805,938447.0108393884,46742,3767648
run_94,DONE,hector,circular,0.1,0.2,0.0174,1,30.135543751569053,783135601.8532273,934804.1140926578,46576,3758368
run_95,DONE,karto,circular,0.1,1.0,0.0174,2,28.392400620289557,654400762.3924899,938734.6886716207,46528,3743520
run_96,DONE,hector,point_to_point,0.05,1.0,0.9,3,30.49536987567704,782382826.7418219,810383.5363408083,40535,3268232
